id,record_sha256,part,qualifies_80,full_detail,returns_percent,sources
V16-0cdc840dc69ebc8a,ba92e823ac625c775dfd3ca0b3901d98ce09aa9269878db36e7846c5455774c8,records/part-0011.jsonl.gz,0,True,"{""regimes.BEAR"":43.33654579,""regimes.BULL"":21.66529024,""regimes.SIDEWAYS"":11.76471787,""worst_net"":11.76471787}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0cdc840dc69ebc8a,dd36356527150274827c4be59eb23d0d82b41bbbfb8a33c0f08eb61dc73e5e45,records/part-0011.jsonl.gz,0,False,"{""worst_net"":11.76471787}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0cf252616164a9d3,5a7ca362daa36ba560dd7908d4cd7c8481eb96dc86ec343bc159b51cc73da575,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":27.01421043,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":27.01421043}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0cf252616164a9d3,73a77233fd2db18bae479a6a65efe027c767ca207cd03f1024ddc02a17db0785,records/part-0011.jsonl.gz,0,False,"{""worst_net"":27.01421043}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d00bfd99e791b0d,4e6d8f237f2cccee617e5ae7cdb8749f70cdadb5ab513d3a5dfc216dc2758321,records/part-0011.jsonl.gz,0,True,"{""regimes.BEAR"":72.39192449,""regimes.BULL"":38.42338707,""regimes.SIDEWAYS"":42.57608868,""worst_net"":38.42338707}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0d00bfd99e791b0d,5d0f6a675348e4101ead36b653fa977782d25d1f428042970fba64f781924f3d,records/part-0011.jsonl.gz,0,False,"{""worst_net"":38.42338707}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d0879902a291686,ed0f21ad68ee4f11de68da02947b1446c49ef326044539ed1838b6acddbc52f7,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":63.02500071,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":63.02500071}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d0a0eec24952421,2484d3461a59c1417a72807d23ee5a0605130f01336011ba04c07a8511b642c9,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":95.38498507,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":88.4140623}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3;live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d0a29cebe1d5cf8,79c8989ceee403df55803926176e2208f0329ea6c13cf60f08f1f1f99d7567db,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":58.96497879,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":58.96497879}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3;live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0d171067bd414e43,2e8aa555c1c30be2fb680a904d48e828c43b5ae2ffc48d12a8f98c2825eacb84,records/part-0011.jsonl.gz,0,False,"{""worst_net"":25.99034416}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
